,classement,Equipe,Meilleurs buteurs,Nombre de but
0,1, Barrow,Scott Quigley , 20
1,2, Harrogate,Jack Muldoon , 13
2,3, Notts County,"Kristian Dennis, Kyle Wootton ", 11
3,4, Yeovil Town,Rhys Murphy , 17
4,5, Boreham Wood,Kabongo Tshimanga , 18
5,6, FC Halifax Town,Liam McAlinden , 10
6,7, Solihull Moors,Paul McCallum , 9
7,8, Stockport,Elliot Osborne , 9
8,9, Woking,Jake Hyde , 16
9,10, Barnet,Simeon Akinola , 15
10,11, Hartlepool Utd,Gime Toure , 12
11,12, Dover Athletic,Inih Effiong , 16
12,13, Bromley,Michael Cheek , 13
13,14, Sutton United,Harry Beautyman , 15
14,15, Torquay,Jamie Reid , 18
15,16, Eastleigh,Tyrone Barnett , 11
16,17, Aldershot Town,Ethan Chislett , 9
17,18, Dag & Red,Ángelo Balanta , 8
18,19, Wrexham,Bobby Grant , 7
19,20, Chesterfield,Mike Fondop,"Talom, Scott Boden - 10"
20,21, Maidenhead Utd,Danny Whitehall , 13
21,22, Ebbsfleet Utd,Gozie Ugwu , 11
22,23, Fylde,Jordan Williams , 9
23,24, Chorley,"Alex Newby, Chris Holroyd ", 6
